time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-26T15:42:57.169Z,-18.0922,-179.3531,639.82,6.1,mww,,33,2.493,0.8,us,us6000gfgd,2021-12-26T17:47:46.785Z,"140 km E of Levuka, Fiji",earthquake,10.1,3.5,0.052,36,reviewed,us,us
2021-12-26T15:42:47.585Z,61.499,-146.4767,14.4,1.8,ml,,,,0.53,ak,ak021gjmnjog,2021-12-26T15:56:18.438Z,"41 km N of Valdez, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-12-26T15:32:51.492Z,59.8353,-152.2367,74.9,1.7,ml,,,,0.52,ak,ak021gjmleql,2021-12-26T15:36:25.432Z,"23 km WNW of Anchor Point, Alaska",earthquake,,1.2,,,automatic,ak,ak
2021-12-26T15:30:36.820Z,19.1706657409668,-155.470169067383,30.8799991607666,2.04999995,md,34,155,,0.109999999,hv,hv72847247,2021-12-26T15:33:48.240Z,"3 km SSE of Pāhala, Hawaii",earthquake,0.56,0.920000017,0.519999981,13,automatic,hv,hv
2021-12-26T15:15:11.566Z,35.1283,26.8912,10,5.1,mww,,61,0.472,0.64,us,us6000gffm,2021-12-26T16:23:57.217Z,"32 km S of Fry, Greece",earthquake,5.3,1.8,0.089,12,reviewed,us,us
2021-12-26T15:05:24.430Z,33.2243333,-116.7338333,12.19,1.14,ml,30,32,0.07679,0.16,ci,ci39896679,2021-12-26T17:08:29.980Z,"3km SE of Lake Henshaw, CA",earthquake,0.22,0.77,0.155,23,reviewed,ci,ci
2021-12-26T15:01:30.897Z,-0.061,123.4632,108.15,5.4,mww,,28,1.194,1.1,us,us6000gffl,2021-12-26T17:04:43.116Z,"79 km SE of Gorontalo, Indonesia",earthquake,6.4,5.2,0.058,29,reviewed,us,us
2021-12-26T14:58:03.133Z,61.7821,-149.7999,29.2,1.3,ml,,,,0.46,ak,ak021gjm5g0p,2021-12-26T15:15:42.857Z,"13 km ENE of Willow, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-12-26T14:19:40.820Z,36.1419983,-120.2323303,8.08,1.35,md,9,177,0.1218,0.05,nc,nc73668596,2021-12-26T15:13:11.145Z,"11km E of Coalinga, CA",earthquake,0.79,0.87,0.02,3,automatic,nc,nc
2021-12-26T14:16:54.890Z,40.2756653,-124.6718369,13.29,3.34,ml,33,258,0.3242,0.18,nc,nc73668591,2021-12-26T15:43:28.040Z,"33km W of Petrolia, CA",earthquake,1.63,0.8,0.329,9,automatic,nc,nc
